,l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
0,110101,种子生产,110100,种植业,110000,农林牧渔
1,110102,果蔬生产,110100,种植业,110000,农林牧渔
2,110103,其他种植业,110100,种植业,110000,农林牧渔
3,110201,海洋捕捞,110200,渔业,110000,农林牧渔
4,110202,水产养殖,110200,渔业,110000,农林牧渔
5,110301,林业,110300,林业,110000,农林牧渔
6,110401,饲料,110400,饲料,110000,农林牧渔
7,110501,果蔬加工,110500,农产品加工,110000,农林牧渔
8,110502,粮油加工,110500,农产品加工,110000,农林牧渔
9,110503,畜禽加工,110500,农产品加工,110000,农林牧渔
10,110601,农业综合,110600,农业综合,110000,农林牧渔
11,210101,石油开采,210100,石油开采,210000,采掘
12,210201,煤炭开采,210200,煤炭开采,210000,采掘
13,210202,焦炭加工,210200,煤炭开采,210000,采掘
14,210301,其他采掘,210300,其他采掘,210000,采掘
15,220101,石油加工,220100,石油化工,220000,化工
16,220103,石油贸易,220100,石油化工,220000,化工
17,220201,纯碱,220200,化学原料,220000,化工
18,220202,氯碱,220200,化学原料,220000,化工
19,220203,无机盐,220200,化学原料,220000,化工
20,220204,其他化学原料,220200,化学原料,220000,化工
21,220301,氮肥,220300,化学制品,220000,化工
22,220302,磷肥,220300,化学制品,220000,化工
23,220303,农药,220300,化学制品,220000,化工
24,220304,日用化学产品,220300,化学制品,220000,化工
25,220305,涂料油漆制造,220300,化学制品,220000,化工
26,220306,钾肥,220300,化学制品,220000,化工
27,220401,涤纶,220400,化学纤维,220000,化工
28,220402,维纶,220400,化学纤维,220000,化工
29,220403,粘胶,220400,化学纤维,220000,化工
30,220404,其他纤维,220400,化学纤维,220000,化工
31,220501,塑料,220500,塑料,220000,化工
32,220601,轮胎,220600,橡胶,220000,化工
33,220701,化工新材料,220700,化工新材料,220000,化工
34,230101,普钢,230100,钢铁,230000,黑色金属
35,230102,特钢,230100,钢铁,230000,黑色金属
36,230201,金属制品,230200,金属制品,230000,黑色金属
37,240102,铝,240100,有色金属冶炼,240000,有色金属
38,240103,铜,240100,有色金属冶炼,240000,有色金属
39,240104,铅锌,240100,有色金属冶炼,240000,有色金属
40,240105,黄金,240100,有色金属冶炼,240000,有色金属
41,240106,小金属,240100,有色金属冶炼,240000,有色金属
42,240201,金属新材料,240200,金属新材料,240000,有色金属
43,250101,玻璃制造,250100,建筑材料,250000,建筑建材
44,250102,水泥制造,250100,建筑材料,250000,建筑建材
45,250103,陶瓷制造,250100,建筑材料,250000,建筑建材
46,250104,其他建材,250100,建筑材料,250000,建筑建材
47,250201,建筑施工,250200,建筑装饰,250000,建筑建材
48,250202,装修装饰,250200,建筑装饰,250000,建筑建材
49,260101,机床工具,260100,普通机械,260000,机械设备
50,260102,机械基础件,260100,普通机械,260000,机械设备
51,260103,磨具磨料,260100,普通机械,260000,机械设备
52,260104,内燃机,260100,普通机械,260000,机械设备
53,260105,制冷空调设备,260100,普通机械,260000,机械设备
54,260106,其它普通机械,260100,普通机械,260000,机械设备
55,260201,纺织服装设备,260200,专用设备,260000,机械设备
56,260202,建筑机械,260200,专用设备,260000,机械设备
57,260203,农用机械,260200,专用设备,260000,机械设备
58,260204,重型机械,260200,专用设备,260000,机械设备
59,260205,冶金矿采设备,260200,专用设备,260000,机械设备
60,260206,印刷包装机械,260200,专用设备,260000,机械设备
61,260207,其它专用机械,260200,专用设备,260000,机械设备
62,260301,仪器仪表,260300,仪器仪表,260000,机械设备
63,260401,电机,260400,电气设备,260000,机械设备
64,260402,电气自控设备,260400,电气设备,260000,机械设备
65,260403,电源设备,260400,电气设备,260000,机械设备
66,260404,输变电设备,260400,电气设备,260000,机械设备
67,260405,其他电力设备,260400,电气设备,260000,机械设备
68,270101,集成电路,270100,半导体,270000,电子元器件
69,270102,分立器件,270100,半导体,270000,电子元器件
70,270103,半导体材料,270100,半导体,270000,电子元器件
71,270201,元件,270200,元件,270000,电子元器件
72,270301,显示器件,270300,显示器件,270000,电子元器件
73,270401,其他电子器件,270400,其他电子器件,270000,电子元器件
74,310101,乘用车,310100,汽车整车,310000,交运设备
75,310102,商用载货车,310100,汽车整车,310000,交运设备
76,310103,商用载客车,310100,汽车整车,310000,交运设备
77,310104,专用汽车,310100,汽车整车,310000,交运设备
78,310201,汽车零部件,310200,汽车零部件,310000,交运设备
79,310301,摩托车,310300,非汽车交运设备,310000,交运设备
80,310302,农机设备,310300,非汽车交运设备,310000,交运设备
