l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
110101,种子生产,110100,种植业,110000,农林牧渔
110102,粮食种植,110100,种植业,110000,农林牧渔
110103,其他种植业,110100,种植业,110000,农林牧渔
110201,海洋捕捞,110200,渔业,110000,农林牧渔
110202,水产养殖,110200,渔业,110000,农林牧渔
110701,畜禽养殖,110700,畜禽养殖,110000,农林牧渔
110301,林业,110300,林业,110000,农林牧渔
110401,饲料,110400,饲料,110000,农林牧渔
110501,果蔬加工,110500,农产品加工,110000,农林牧渔
110502,粮油加工,110500,农产品加工,110000,农林牧渔
110504,其他农产品加工,110500,农产品加工,110000,农林牧渔
110801,动物保健,110800,动物保健,110000,农林牧渔
110601,农业综合,110600,农业综合,110000,农林牧渔
210101,石油开采,210100,石油开采,210000,采掘
210201,煤炭开采,210200,煤炭开采,210000,采掘
210202,焦炭加工,210200,煤炭开采,210000,采掘
210301,其他采掘,210300,其他采掘,210000,采掘
210401,油气钻采服务,210400,采掘服务,210000,采掘
210402,其他采掘服务,210400,采掘服务,210000,采掘
220101,石油加工,220100,石油化工,220000,化工
220103,石油贸易,220100,石油化工,220000,化工
220201,纯碱,220200,化学原料,220000,化工
220202,氯碱,220200,化学原料,220000,化工
220203,无机盐,220200,化学原料,220000,化工
220204,其他化学原料,220200,化学原料,220000,化工
220301,氮肥,220300,化学制品,220000,化工
220302,磷肥,220300,化学制品,220000,化工
220303,农药,220300,化学制品,220000,化工
220304,日用化学产品,220300,化学制品,220000,化工
220305,涂料油漆油墨制造,220300,化学制品,220000,化工
220306,钾肥,220300,化学制品,220000,化工
220307,民爆用品,220300,化学制品,220000,化工
220308,纺织化学用品,220300,化学制品,220000,化工
220309,其他化学制品,220300,化学制品,220000,化工
220310,复合肥,220300,化学制品,220000,化工
220311,氟化工及制冷剂,220300,化学制品,220000,化工
220312,磷化工及磷酸盐,220300,化学制品,220000,化工
220401,涤纶,220400,化学纤维,220000,化工
220402,维纶,220400,化学纤维,220000,化工
220403,粘胶,220400,化学纤维,220000,化工
220404,其他纤维,220400,化学纤维,220000,化工
220405,氨纶,220400,化学纤维,220000,化工
220501,其他塑料制品,220500,塑料,220000,化工
220502,合成革,220500,塑料,220000,化工
220503,改性塑料,220500,塑料,220000,化工
220601,轮胎,220600,橡胶,220000,化工
220602,其他橡胶制品,220600,橡胶,220000,化工
220603,炭黑,220600,橡胶,220000,化工
220701,其他化工新材料,220700,化工新材料,220000,化工
220702,聚氨酯,220700,化工新材料,220000,化工
220703,玻纤,220700,化工新材料,220000,化工
230101,普钢,230100,钢铁,230000,黑色金属
230102,特钢,230100,钢铁,230000,黑色金属
240102,铝,240100,有色金属冶炼与加工,240000,有色金属
240103,铜,240100,有色金属冶炼与加工,240000,有色金属
240104,铅锌,240100,有色金属冶炼与加工,240000,有色金属
240105,黄金,240100,有色金属冶炼与加工,240000,有色金属
240106,小金属,240100,有色金属冶炼与加工,240000,有色金属
240201,金属新材料,240200,金属非金属新材料,240000,有色金属
240202,磁性材料,240200,金属非金属新材料,240000,有色金属
240203,非金属新材料,240200,金属非金属新材料,240000,有色金属
250101,玻璃制造,250100,建筑材料,250000,建筑建材
250102,水泥制造,250100,建筑材料,250000,建筑建材
250103,陶瓷制造,250100,建筑材料,250000,建筑建材
250104,其他建材,250100,建筑材料,250000,建筑建材
250105,耐火材料,250100,建筑材料,250000,建筑建材
250106,管材,250100,建筑材料,250000,建筑建材
250203,房屋建设,250200,建筑装饰,250000,建筑建材
250204,基础建设,250200,建筑装饰,250000,建筑建材
250205,专业工程,250200,建筑装饰,250000,建筑建材
250202,装饰园林,250200,建筑装饰,250000,建筑建材
260101,机床工具,260100,通用机械,260000,机械设备
260102,机械基础件,260100,通用机械,260000,机械设备
260103,磨具磨料,260100,通用机械,260000,机械设备
260104,内燃机,260100,通用机械,260000,机械设备
260105,制冷空调设备,260100,通用机械,260000,机械设备
260106,其它通用机械,260100,通用机械,260000,机械设备
260201,纺织服装设备,260200,专用设备,260000,机械设备
260202,工程机械,260200,专用设备,260000,机械设备
260203,农用机械,260200,专用设备,260000,机械设备
260204,重型机械,260200,专用设备,260000,机械设备
260205,冶金矿采化工设备,260200,专用设备,260000,机械设备
260206,印刷包装机械,260200,专用设备,260000,机械设备
260207,其它专用机械,260200,专用设备,260000,机械设备
260208,楼宇设备,260200,专用设备,260000,机械设备
260209,环保设备,260200,专用设备,260000,机械设备
260301,仪器仪表,260300,仪器仪表,260000,机械设备
260401,电机,260400,电气设备,260000,机械设备
260402,电气自控设备,260400,电气设备,260000,机械设备
260403,电源设备,260400,电气设备,260000,机械设备
260404,输变电设备,260400,电气设备,260000,机械设备
260405,其他电力设备,260400,电气设备,260000,机械设备
260501,金属制品,260500,金属制品,260000,机械设备
270101,集成电路,270100,半导体,270000,电子
270102,分立器件,270100,半导体,270000,电子
270103,半导体材料,270100,半导体,270000,电子
270202,印制电路板,270200,元件,270000,电子
270203,被动元件,270200,元件,270000,电子
270301,显示器件,270300,光学光电子,270000,电子
270302,LED,270300,光学光电子,270000,电子
270303,光学元件,270300,光学光电子,270000,电子
270501,电子系统组装,270500,电子制造,270000,电子
270502,电子零部件制造,270500,电子制造,270000,电子
270401,其他电子,270400,其他电子,270000,电子
310101,乘用车,310100,汽车整车,310000,交运设备
310102,商用载货车,310100,汽车整车,310000,交运设备
310103,商用载客车,310100,汽车整车,310000,交运设备
310104,专用汽车,310100,汽车整车,310000,交运设备
310201,汽车零部件,310200,汽车零部件,310000,交运设备
310301,摩托车,310300,非汽车交运设备,310000,交运设备
310304,航空航天设备,310300,非汽车交运设备,310000,交运设备
310305,船舶制造,310300,非汽车交运设备,310000,交运设备
310306,铁路设备,310300,非汽车交运设备,310000,交运设备
310307,其他交运设备,310300,非汽车交运设备,310000,交运设备
310401,汽车服务,310400,交运设备服务,310000,交运设备
310402,其他交运设备服务,310400,交运设备服务,310000,交运设备
320102,终端设备,320100,通信设备,320000,信息设备
320103,通信传输设备,320100,通信设备,320000,信息设备
320104,通信配套服务,320100,通信设备,320000,信息设备
320201,计算机设备,320200,计算机设备,320000,信息设备
330101,冰箱,330100,白色家电,330000,家用电器
330102,空调,330100,白色家电,330000,家用电器
330103,洗衣机,330100,白色家电,330000,家用电器
330104,小家电,330100,白色家电,330000,家用电器
330105,其他白色家电,330100,白色家电,330000,家用电器
330201,彩电,330200,视听器材,330000,家用电器
330202,其它视听器材,330200,视听器材,330000,家用电器
340401,肉制品,340400,食品加工制造,340000,食品饮料
340404,食品综合,340400,食品加工制造,340000,食品饮料
340402,调味发酵品,340400,食品加工制造,340000,食品饮料
340403,乳品,340400,食品加工制造,340000,食品饮料
340301,白酒,340300,饮料制造,340000,食品饮料
340302,啤酒,340300,饮料制造,340000,食品饮料
340303,其他酒类,340300,饮料制造,340000,食品饮料
340304,软饮料,340300,饮料制造,340000,食品饮料
340305,葡萄酒,340300,饮料制造,340000,食品饮料
340306,黄酒,340300,饮料制造,340000,食品饮料
