一级行业代码,一级行业名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称,指数代码
110000,农林牧渔,,,,,801010
,,110100,种植业,,,801016
,,,,110101,种子生产,850111
,,,,110102,粮食种植,850112
,,,,110103,其他种植业,850113
,,110200,渔业,,,801015
,,,,110201,海洋捕捞,850121
,,,,110202,水产养殖,850122
,,110700,畜禽养殖,,,801017
,,,,110701,畜禽养殖,850171
,,110300,林业,,,801011
,,,,110301,林业,850131
,,110400,饲料,,,801014
,,,,110401,饲料,850141
,,110500,农产品加工,,,801012
,,,,110501,果蔬加工,850151
,,,,110502,粮油加工,850152
,,,,110504,其他农产品加工,850154
,,110800,动物保健,,,801018
,,,,110801,动物保健,850181
,,110600,农业综合,,,801013
,,,,110601,农业综合,850161
210000,采掘,,,,,801020
,,210100,石油开采,,,801023
,,,,210101,石油开采,850211
,,210200,煤炭开采,,,801021
,,,,210201,煤炭开采,850221
,,,,210202,焦炭加工,850222
,,210300,其他采掘,,,801022
,,,,210301,其他采掘,850231
,,210400,采掘服务,,,801024
,,,,210401,油气钻采服务,850241
,,,,210402,其他采掘服务,850242
220000,化工,,,,,801030
,,220100,石油化工,,,801035
,,,,220101,石油加工,850311
,,,,220103,石油贸易,850313
,,220200,化学原料,,,801033
,,,,220201,纯碱,850321
,,,,220202,氯碱,850322
,,,,220203,无机盐,850323
,,,,220204,其他化学原料,850324
,,220300,化学制品,,,801034
,,,,220301,氮肥,850331
,,,,220302,磷肥,850332
,,,,220303,农药,850333
,,,,220304,日用化学产品,850334
,,,,220305,涂料油漆油墨制造,850335
,,,,220306,钾肥,850336
,,,,220307,民爆用品,850337
,,,,220308,纺织化学用品,850338
,,,,220309,其他化学制品,850339
,,,,220310,复合肥,850381
,,,,220311,氟化工及制冷剂,850382
,,,,220312,磷化工及磷酸盐,850383
,,220400,化学纤维,,,801032
,,,,220401,涤纶,850341
,,,,220402,维纶,850342
,,,,220403,粘胶,850343
,,,,220404,其他纤维,850344
,,,,220405,氨纶,850345
,,220500,塑料,,,801036
,,,,220501,其他塑料制品,850351
,,,,220502,合成革,850352
,,,,220503,改性塑料,850353
